Top Text,Bottom Text,V humor,V comp,S humor,S comp,J humor,J comp,M humor,M comp,humor avg,comp avg
HIT A POTHOLE,RADIO CAME BACK ON,3,2,0,0,5,3,4,4,3,2.25
WENT TO CLASS DRUNK,FINALLY RECEIVED PARTICIPATION POINTS,5,3,0,0,4,3,5,3,3.5,2.25
PUT 5 DOLLARS IN POCKET,PULL OUT 10,2,3,0,0,2,3,3,3,1.75,2.25
LATE TO WORK,BOSS WAS EVEN LATER,3,4,0,0,3,4,3,4,2.25,3
SEES NICKEL ON GROUND,ACTUALLY A SILVER DOLLAR,2,5,0,0,1,2,2,4,1.25,2.75
STARBURST 2-PACK,BOTH PINK,2,2,0,0,2,2,3,3,1.75,1.75
HIGH SCORE IN SKEE-BALL,5 EXTRA TICKETS,1,2,0,0,1,2,1,3,0.75,1.75
GET SICK ON FRIDAY,THREE DAY WEEKEND,3,3,0,0,2,3,2,3,1.75,2.25
WENT TO ASK CRUSH FOR HER NUMBER,SHE ASKED FOR MINE,3,4,0,0,2,4,3,4,2,3
ACCEPTS MUSIC AWARD,KANYE DOESN'T INTERRUPT,4,2,0,0,2,2,3,3,2.25,1.75
APPLIES SCREEN PROTECTOR,NO BUBBLES,3,2,0,0,3,2,3,3,2.25,1.75
FORGETS TO DO HOMEWORK,TEACHER FORGETS TO COLLECT HOMEWORK IN CLASS,3,3,0,0,3,4,3,4,2.25,2.75
FIRST TIME COOKING WITHOUT RECIPE,TURNS OUT DELICIOUS,3,3,0,0,1,3,2,3,1.5,2.25
GETS MOVED TO FIRST CLASS,NO EXTRA CHARGE,2,3,0,0,1,3,1,4,1,2.5
NEED QUARTER FOR SODA,ALREADY ONE IN THE MACHINE,3,2,0,0,2,4,2,4,1.75,2.5
CHECKS PHONE,GETS TEXT AS SOON AS I LOOK AT PHONE,2,4,0,0,3,4,3,5,2,3.25
FIRST PULL,LAWNMOWER ON,2,4,0,0,4,3,3,3,2.25,2.5
TOOK FIVE STEPS,DIDN'T FALL,3,3,0,0,2,4,3,3,2,2.5
PEELS TANGERINE,IN ONE CONTINUOUS APPEAL,4,1,0,0,2,1,3,3,2.25,1.25
CHECKING THE BILL,NOTHING TO PAY,2,2,0,0,1,2,2,3,1.25,1.75
HAD A HYSTERECTOMY,DOESN'T HAVE CANCER,1,2,0,0,2,2,1,3,1,1.75
MET SOMEONE THROUGH IMGUR,CUTE GIRL,3,3,0,0,2,2,2,3,1.75,2
