STUDIES MATERIALS SCIENCE|DOESN'T CRACK UNDER PRESSURE
THOUGHT TODAY WAS THURSDAY|IT'S FRIDAY
GIVES FEEDBACK|FEEDBACK MATTERS
FORGETS TO BUY FOOD|INVITED OUT TO DINNER AT THE LAST MOMENT
DIVORCED PARENTS|TWICE THE XMAS PRESENTS
LISTENS TO AN OLD CD|STILL REMEMBERS LYRICS
HAVE TO WEAR A TIE|PERFECT LENGTH ON FIRST TRY
WASHER BROKE|USED GOOGLE, YOUTUBE, AND AMAZON TO FIX IT MYSELF FOR $3.97
WAKE UP FROM EPIC DREAM|FELL BACK ASLEEP AND CONTINUED DREAM
GF BREAKS UP WITH ME 2 DAYS BEFORE LEAVING ON VACATION|THE AIRLINE FEELS BAD FOR ME, REFUNDS ME HER TICKET
PUT SODA IN THE FREEZER TO MAKE IT COOL DOWN FASTER|REMEMBERED
TO BE CONTINUED…|RIGHT NOW
NOKIA PHONE WENT THROUGH THE WASH|WASHING MACHINE STILL WORKS
FORGOT GUY'S NAME, SAID "WHAT'S UP MAN"|HIS NAME WAS MANNY
USED "TROUBLESHOOT PROBLEMS" ON WIFI|ACTUALLY FIXED MY CONNECTION
GOT AUDITED BY IRS|THEY OWED ME $500
HIT A POTHOLE|RADIO CAME BACK ON
WENT TO CLASS DRUNK|FINALLY RECEIVED PARTICIPATION POINTS
PUT 5 DOLLARS IN POCKET|PULL OUT 10
LATE TO WORK|BOSS WAS EVEN LATER
SEES NICKEL ON GROUND|ACTUALLY A SILVER DOLLAR
STARBURST 2-PACK|BOTH PINK
HIGH SCORE IN SKEE-BALL|5 EXTRA TICKETS
GET SICK ON FRIDAY|THREE DAY WEEKEND
WENT TO ASK CRUSH FOR HER NUMBER|SHE ASKED FOR MINE
ACCEPTS MUSIC AWARD|KANYE DOESN'T INTERRUPT
APPLIES SCREEN PROTECTOR|NO BUBBLES
FORGETS TO DO HOMEWORK|TEACHER FORGETS TO COLLECT HOMEWORK IN CLASS
FIRST TIME COOKING WITHOUT RECIPE|TURNS OUT DELICIOUS
GETS MOVED TO FIRST CLASS|NO EXTRA CHARGE
NEED QUARTER FOR SODA|ALREADY ONE IN THE MACHINE
CHECKS PHONE|GETS TEXT AS SOON AS I LOOK AT PHONE
FIRST PULL|LAWNMOWER ON
TOOK FIVE STEPS|DIDN'T FALL
PEELS TANGERINE|IN ONE CONTINUOUS APPEAL
CHECKING THE BILL|NOTHING TO PAY
HAD A HYSTERECTOMY|DOESN'T HAVE CANCER
MET SOMEONE THROUGH IMGUR|CUTE GIRL
WENT TO BURGER KING|GOT A CROWN
HAD STUPID OPINIONS AS A TEENAGER|FACEBOOK AND TWITTER DIDN’T EXIST SO THE WORLD NEVER FOUND OUT
DAY OFF IN THE MIDDLE OF THE WEEK|TWO FRIDAYS
PUSH A BUTTON|GUY IN THE TV JUMPS
BUY A USED CAR|IT’S AN ALIEN ROBOT
DROPPED MY TOAST|BUTTER SIDE UP
MOM TOOK MY NOSE|GOT IT BACK
SAID SOMETHING FUNNY IN PUBLIC|STRANGER LAUGHED
EATS ONE TIDE POD|SPITS OUT TWO
PAID BILLS|NOT BROKE
BECAME A MEME|SAVED DAD’S LIFE
ARRIVES HOME|MUSIC ENDS
HAVE TO WEAR A TIE|PERFECT ON FIRST TRY
STARBURST TWO PACK|BOTH PINK
RINGS DOORBELL|RECEIVES CANDY
WALKED INTO ROOM|REMEMBERED WHY
DOES LAUNDRY|FINDS $5
PUSHED NEW CODE|WORKS
FARTS IN QUIET ROOM|NO ONE NOTICED
TWO HEALTH LEFT|OPPONENT MISSES
SEES NICKEL ON GROUND|ACTUALLY SILVER DOLLAR
FORGOT TO BUY FOOD|INVITED OUT AT LAST MINUTE
CALLED ON WHILE NOT PAYING ATTENTION|GOT ANSWER RIGHT
DIDN’T STUDY|ACE TEST
WALK OUTSIDE|A POUND OF COOKED BACON FALLS ON ME
ACCIDENTALLY POP OPEN BAG OF CHIPS|NONE FALL OUT
GOT FLU SHOT|DIDN’T GET SICK
HAD TO CALL MEAN PERSON BACK|WENT TO VOICEMAIL
14 ASSIGNMENTS DONE|2 TO GO
FED STRAY CAT|GOT BROUGHT MOUSE
DIVORCED PARENTS|DOUBLE THE PRESENTS
FACEBOOK AND INSTAGRAM GO DOWN|DIDN’T EVEN NOTICE
250 WORD LIMIT|WRITES 249
